项目编号,项目名称,首席申请机构,批准资金
ITP/023/25AP,"基於相变浆液的耦合热管理系统在商用固态储氢燃料电池汽车中的开发研究","先进能源及智慧交通中心",HK$ 2,321,622.5
ITP/026/25AP,"开发汽车鋰电池实时超声波无损检测装置","先进能源及智慧交通中心",HK$ 3,052,186
ITP/027/25DP,"应用於车联网 (V2X) 的融合式功率转换架构","香港微电子研发院有限公司",HK$ 2,795,075
ITP/037/25NP,"NAMI用于固体电解质鋰电池的分子设计和界面工程","纳米及先进材料研发院有限公司",HK$ 5,249,750
ITS/069/02,"纳米材料技术研发所：纳米功能材料和技术发展","香港科技大学",HK$ 56,911,000
ITS/158/09,"能够提高农业、林业及生物能源產值的平台科技","香港大学",HK$ 992,601
ITS/170/11FP,"柔性金属衬底上的铜銦鎵硒薄膜太阳能电池的制备工艺","香港中文大学",HK$ 1,759,188
ITS/175/11FP,"应用於建筑物及工业的高能效吸附製冷系统","香港科技大学",HK$ 1,797,873
ITS/032/12,"用於雪柜和冷气机的节能直线製冷压缩机","香港理工大学",HK$ 975,886
ITS/112/12,"利用磁阻传感器进行地下电缆运行状态监测和通电状态识别","香港大学",HK$ 874,000
ITS/141/12,"具有高透明度和导电率石墨烯/碳纳米管复合薄膜的制备","香港科技大学",HK$ 984,230
ITS/290/12,"混合钒流电池作伸缩弹性储电","香港大学",HK$ 998,770
ITS/351/12,"通过简便电化学技术製备性能卓越的超级电容器电极","香港城市大学",HK$ 995,900
ITS/353/12,"以食物废料为营养源培养微藻：一种生物炼制的新概念","香港城市大学",HK$ 897,575
ITS/354/12,"可印刷的叠层高分子太阳能电池的界面材料的研发","香港科技大学",HK$ 999,350
ITS/032/13,"為中型水管数据监测系统提供电力的新颖内联水力发电和能量存储系统的研发","香港理工大学",HK$ 998,200
ITS/052/13FP,"CIGS太阳能组件的全激光刻蚀工艺","香港中文大学",HK$ 3,191,388
ITS/117/13,"利用表面有三维纳米结构的低成本基板材料卷对卷製成柔性薄膜硅太阳能电池","香港科技大学",HK$ 998,231
ITS/161/13FX,"应用於智能城市的云端化能源管理、环境及个人安全监控平台","香港理工大学",HK$ 3,390,339
ITS/168/13,"用於下一代电动汽车的超级电容车身集成技术","香港理工大学",HK$ 999,350
ITS/196/13,"系统性利用等离子体激元增强太阳能薄膜电池","香港中文大学",HK$ 1,383,330
ITS/275/13,"一种用於电动汽车的新型双馈磁场调製的电动机","香港理工大学",HK$ 1,400,000
ITS/304/13,"一种用於个性化通风节能的新型热舒适度传感技术","香港科技大学",HK$ 1,327,100
